what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398710948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398714851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451398715632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398724552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398729229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398733077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398737740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1451398742634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451398744631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398755313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451398763769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398772436
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1451398772544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398773164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398776990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451398779026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398779520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398782398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451398783565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398783890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398785663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398789035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398798850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398806657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398812208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451398813932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451398815965
