what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451402338610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451402338928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451402339299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1451402339821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451402340437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402343734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402360192
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451402362600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451402404055
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451402409490
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1451402413264
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1451402417138
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1451402418387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451402423779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402425454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402441574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402447823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402466948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451402468356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451402477661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402480499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402481323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402482016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402483696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451402484415
