what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1451930416975
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1451930416976
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1451930416977
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1451930416978
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1451930417013
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1451930417059
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1451930417060
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1451930417082
started,bundle,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.adt",1451930417082
started,bundle,com.android.ide.eclipse.base,22.2.1.v201309180102-833290,"com.android.ide.eclipse.base",1451930417083
os,sysinfo,,,"win32",1451930417086
arch,sysinfo,,,"x86_64",1451930417087
ws,sysinfo,,,"win32",1451930417087
locale,sysinfo,,,"sv_SE",1451930417087
processors,sysinfo,,,"4",1451930417087
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1451930417087
java.runtime.version,sysinfo,,,"1.7.0_71-b14",1451930417087
java.specification.name,sysinfo,,,"Java Platform API Specification",1451930417087
java.specification.vendor,sysinfo,,,"Oracle Corporation",1451930417087
java.specification.version,sysinfo,,,"1.7",1451930417087
java.vendor,sysinfo,,,"Oracle Corporation",1451930417087
java.version,sysinfo,,,"1.7.0_71",1451930417087
java.vm.info,sysinfo,,,"mixed mode",1451930417087
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1451930417087
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1451930417087
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1451930417087
java.vm.specification.version,sysinfo,,,"1.7",1451930417087
java.vm.vendor,sysinfo,,,"Oracle Corporation",1451930417087
java.vm.version,sysinfo,,,"24.71-b01",1451930417087
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1451930418167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930418243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930429955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930431139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930431282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930436307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930447271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930451190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1451930458790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1451930459919
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930462737
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930462872
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1451930463422
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930463683
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930463776
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930465090
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1451930465930
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1451930504892
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1451930507109
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1451930507141
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1451930507215
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1451930507267
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1451930507408
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1451930507423
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1451930507461
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1451930507515
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1451930507545
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1451930507627
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1451930507629
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1451930508181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1451930508650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1451930518639
